ID;age_months;age_years;Gender;Condition;Manipulation_check_ch1;Manipulation_check_ch2;Within1_ch1;Within1_ch2;Choice_within1;Within2_ch1;Within2_ch2;Choice_within2;Between1_ch1;Between1_ch2;Choice_between1;Between2_ch1;Between2_ch2;Choice_between2;Liking_ch1;Liking_ch2;Be_friend;within1;within2;between1;between2
10;100;8;1;1;4;5;5;4;1;5;4;2;2;2;1;2;2;2;5;2;1;5;4;2;2
35;103;8;1;1;5;4;6;4;1;5;5;1;3;3;2;2;2;1;5;2;1;5,5;4,5;2,5;2,5
38;104;8;1;1;5;2;6;4;1;6;6;1;3;3;1;3;3;2;5;3;1;6;5;3;3
8;108;9;2;1;5;2;6;1;1;5;3;1;4;4;1;4;4;2;5;2;2;5,5;2;4;4
18;109;9;2;1;5;1;6;2;2;5;4;2;4;4;1;4;4;2;5;3;1;5,5;3;4;4
28;110;9;1;1;5;3;6;4;1;5;1;1;3;3;1;5;5;1;5;1;1;5,5;2,5;4;4
6;110;9;2;1;6;3;6;5;1;6;1;1;3;3;1;4;4;2;5;3;1;6;3;3,5;3,5
14;111;9;1;1;5;5;5;2;2;6;2;2;5;5;1;5;5;1;4;2;1;5,5;2;5;5
72;116;9;2;1;6;3;6;2;1;6;2;1;2;2;1;3;3;2;4;3;1;6;2;2,5;2,5
71;124;9;1;1;6;3;5;2;1;5;3;1;4;4;2;3;3;2;5;3;1;5;2,5;3,5;3,5
52;57;5;2;1;2;3;5;3;1;5;1;1;4;4;1;3;3;1;5;3;1;5;2;3,5;3,5
65;59;5;1;1;6;3;5;1;1;5;2;1;6;3;1;5;2;1;5;5;1;5;1,5;5,5;2,5
17;59;5;1;1;6;2;5;2;1;6;1;1;6;2;2;6;3;1;5;3;1;5,5;1,5;6;2,5
66;60;5;2;1;6;2;6;1;2;6;1;1;6;4;1;5;3;1;5;5;1;6;1;5,5;3,5
83;60;5;1;1;5;2;6;2;1;6;2;1;5;3;1;5;2;4;4;3;1;6;2;5;2,5
5;63;5;1;1;5;4;6;4;1;5;2;1;6;4;1;6;3;1;5;2;1;5,5;3;6;3,5
16;66;5;2;1;6;1;6;1;1;4;2;1;6;3;1;5;4;1;4;3;1;5;1,5;5,5;3,5
41;66;5;2;1;5;1;6;1;1;5;3;2;6;1;1;6;4;1;5;2;2;5,5;2;6;2,5
79;69;6;2;1;5;3;6;2;1;5;2;1;5;2;1;6;3;1;4;4;1;5,5;2;5,5;2,5
88;69;6;2;1;5;2;6;2;1;6;2;1;5;2;1;5;2;4;4;3;1;6;2;5;2
42;70;6;1;1;6;3;5;3;1;6;3;1;6;4;1;5;4;1;4;3;1;5,5;3;5,5;4
77;71;6;1;1;5;2;5;2;2;6;1;2;5;4;2;6;2;1;5;5;2;5,5;1,5;5,5;3
40;72;6;1;1;6;2;6;4;1;4;3;1;6;3;1;2;2;2;5;4;1;5;3,5;4;2,5
63;73;6;1;1;5;4;6;3;1;6;3;1;3;3;1;3;3;2;5;3;1;6;3;3;3
49;75;6;2;1;6;4;6;4;1;4;3;1;3;3;2;3;3;2;4;2;1;5;3,5;3;3
67;75;6;2;1;5;2;6;3;1;5;1;1;2;2;2;2;2;1;4;5;2;5,5;2;2;2
69;76;6;2;1;5;4;5;2;1;5;2;1;3;3;1;3;3;1;4;5;2;5;2;3;3
80;76;6;2;1;6;4;5;3;1;6;3;1;1;1;2;1;1;2;3;2;1;5,5;3;1;1
20;76;6;1;1;5;3;5;1;1;6;4;1;4;4;1;2;2;1;3;3;1;5,5;2,5;3;3
85;78;6;1;1;4;2;6;2;1;6;2;1;5;2;1;5;1;4;4;3;1;6;2;5;1,5
